slug,brand,industry,filing_year,filing_state,age_years,n19,n20
1-800-water-damage,1-800 WATER DAMAGE,home-services-restoration,2026,WI,0,10,119
1-800-packouts,1-800-PACKOUTS,home-services-moving,2026,WI,0,4,117
9round,9Round,,2026,MN,0,0,147
a-w,A&W,food-quick-service,2026,MN,0,19,120
afc,AFC,,2026,MN,0,25,9
anytime-fitness,ANYTIME FITNESS,fitness-wellness,2026,WI,0,0,159
ace-handyman-services,Ace Handyman Services,home-services-handyman,2026,WI,0,24,156
aire-serv,Aire Serv,home-services-hvac,2026,WI,0,7,144
alphagraphics,AlphaGraphics,,2026,WI,0,13,135
amazing-athletes,Amazing Athletes,,2026,MN,0,69,114
anago,Anago,home-services-cleaning,2026,WI,0,11,4
angry-crab-shack,Angry Crab Shack,,2026,MN,0,30,30
any-lab-test-now,Any Lab Test Now,,2026,MN,0,7,117
apricot-lane-boutique,Apricot Lane Boutique,,2026,MN,0,4,132
archadeck-outdoor-living,Archadeck Outdoor Living,home-services-outdoor,2026,WI,0,8,108
assisting-hands,Assisting Hands,home-services-senior-care,2026,WI,0,93,96
aussie-pet-mobile,Aussie Pet Mobile,pet-services,2026,WI,0,0,0
biggby-coffee,BIGGBY COFFEE,food-quick-service,2026,WI,0,25,51
blue-kangaroo-packoutz,BLUE KANGAROO PACKOUTZ,home-services-moving,2026,WI,0,0,126
bumble-roofing,BUMBLE ROOFING,home-services-roofing,2026,WI,0,0,44
burger-king,BURGER KING,food-quick-service,2026,WI,0,0,162
baja-fresh,Baja Fresh,,2026,MN,0,3,63
bamb,Bambū,,2026,WI,0,0,87
bark-busters,Bark Busters,,2026,MN,0,4,117
baskin-robbins,Baskin-Robbins,,2026,WI,0,5,135
batteries-plus,Batteries Plus,,2026,MN,0,98,162
beard-papa-s,Beard Papa's,,2026,MN,0,0,63
benjamin-franklin-plumbing,Benjamin Franklin Plumbing,home-services-plumbing,2026,WI,0,13,120
better-homes-and-gardens-real-estate,Better Homes and Gardens Real Estate,real-estate,2026,WI,0,0,153
bin-blasters,Bin Blasters,home-services-cleaning,2026,WI,0,0,42
bio-one,Bio-One,home-services-painting,2026,MN,0,17,153
bishops,Bishops,,2026,MN,0,4,57
black-bear-diner,Black Bear Diner,,2026,MN,0,30,48
blimpie,Blimpie,,2026,MN,0,0,108
bluefrog-plumbing-drain,BlueFrog Plumbing & Drain,home-services-plumbing,2026,WI,0,0,69
break-coffee-co,Break Coffee Co.,food-quick-service,2026,MN,0,29,33
brightstar-care,BrightStar Care,home-services-senior-care,2026,MN,0,44,132
brightway-insurance,Brightway Insurance,,2026,WI,0,12,129
bruster-s-real-ice-cream,Bruster's Real Ice Cream,food-quick-service,2026,MN,0,42,87
budget-blinds,Budget Blinds,home-services-remodeling,2026,WI,0,6,20
buffalo-wild-wings,Buffalo Wild Wings,,2026,WI,0,5,126
bumble-bee-blinds,Bumble Bee Blinds,home-services-remodeling,2026,WI,0,8,81
century-21,CENTURY 21,real-estate,2026,WI,0,0,165
cmit-solutions,CMIT Solutions,tech-services,2026,WI,0,16,129
conserva-irrigation,CONSERVA IRRIGATION®,home-services-outdoor,2026,WI,0,25,111
california-pizza-kitchen,California Pizza Kitchen,food-quick-service,2026,MN,0,0,30
camp-bow-wow,Camp Bow Wow,,2026,WI,0,0,138
card-my-yard,Card My Yard,,2026,MN,0,37,147
carepatrol,CarePatrol,home-services-senior-care,2026,WI,0,24,117
caribou-coffee,Caribou Coffee,food-quick-service,2026,WI,0,0,72
carvel,Carvel,,2026,WI,0,5,87
certapro-painters,CertaPro Painters,home-services-painting,2026,WI,0,0,144
champps-kitchen-bar,Champps Kitchen + Bar,home-services-remodeling,2026,MN,0,0,18
charles-schwab,Charles Schwab,,2026,MN,0,51,123
charleys,Charleys,,2026,WI,0,6,153
cheba-hut,Cheba Hut,,2026,MN,0,29,69
chem-dry,Chem-Dry,home-services-cleaning,2026,WI,0,0,159
chick-fil-a,Chick-fil-A,food-quick-service,2026,MN,0,2,294
chicken-salad-chick,Chicken Salad Chick,food-quick-service,2026,MN,0,46,78
chiroway,ChiroWay,home-services-senior-care,2026,WI,0,0,27
christian-brothers-automotive,Christian Brothers Automotive,automotive-services,2026,WI,0,5,99
cinnabon,Cinnabon,,2026,WI,0,15,159
city-lifestyle,City Lifestyle,,2026,MN,0,40,129
city-wide,City Wide,home-services-cleaning,2026,WI,0,26,120
clear-pest-pros,Clear Pest Pros,home-services-handyman,2026,WI,0,0,18
closet-storage-concepts,Closet & Storage Concepts,home-services-remodeling,2026,MN,0,1,36
closets-by-design,Closets by Design,home-services-remodeling,2026,WI,0,12,111
cold-stone-creamery,Cold Stone Creamery,,2026,MN,0,3,90
coldwell-banker-commercial,Coldwell Banker Commercial®,real-estate,2026,WI,0,0,129
